student_id,name,age,gpa,math_score,english_score,science_score,attendance,scholarship
S001,Alice Johnson,20,3.85,95,88,92,95,Yes
S002,Bob Smith,21,3.45,82,79,85,88,No
S003,Carol White,20,3.92,98,91,96,98,Yes
S004,David Brown,22,2.85,75,72,78,80,No
S005,Eve Davis,20,3.65,,86,88,92,Yes
S006,Frank Miller,21,3.55,88,85,,91,No
S007,Grace Wilson,20,3.88,96,89,94,96,Yes
S008,Henry Taylor,23,2.95,79,76,81,83,No
S009,Ivy Anderson,20,3.75,92,87,90,94,Yes
S010,Jack Thomas,21,3.25,80,78,82,85,No
S011,Karen Jackson,20,3.95,99,92,97,99,Yes
S012,Leo White,22,2.75,72,70,75,78,No
S013,Mia Harris,20,3.55,87,84,86,89,No
S014,Nathan Martin,21,3.65,90,88,89,91,Yes
S015,Olivia Thompson,20,3.88,97,,95,97,Yes
S016,Peter Garcia,22,2.95,78,75,80,82,No
S017,Quinn Martinez,20,3.75,94,86,92,93,Yes
S018,Rachel Robinson,21,3.45,85,82,84,87,No
S019,Sam Clark,20,3.88,96,90,94,96,Yes
S020,Tina Rodriguez,22,2.85,76,73,79,81,No
